,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
23,False,/jdLsmpqmP1wTdFUPtmxMnYgoifT.jpg,"[18, 80, 53]",644495,en,House of Gucci,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel the family legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately…murder.",245.07,/cy6fvTf9YqehVhReYnm5cc3GqhZ.jpg,2021-11-24,House of Gucci,False,7.0,243
24,False,/z8TvnEVRenMSTemxYZwLGqFofgF.jpg,"[28, 14, 12]",458576,en,Monster Hunter,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",239.614,/1UCOF11QCw8kcqvce8LKOO6pimh.jpg,2020-12-03,Monster Hunter,False,6.9,2286
25,False,/7z5MJGJ9CObnu770ZubDQye7DKD.jpg,[27],760195,en,Separation,A young girl finds solace in her artist father and the ghost of her dead mother.,237.933,/lHbSC2Np17CRsRXIbaE0YY1Hora.jpg,2021-04-30,Separation,False,5.9,85
26,False,/dB0CxRwLXJoOrRPUvsJjb2hnPtq.jpg,"[28, 878]",624860,en,The Matrix Resurrections,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.",217.658,/xLNtaLaHudIzOqdEZ7R3lcDLrQQ.jpg,2021-12-15,The Matrix Resurrections,False,0.0,0
27,False,/6FzuNrApEc71aJ3CwwkpadbNled.jpg,"[28, 53]",581644,en,The Misfits,"After being recruited by a group of unconventional thieves, renowned criminal Richard Pace finds himself caught up in an elaborate gold heist that promises to have far-reaching implications on his life and the lives of countless others.",173.326,/dPOyYnCkRbWAEem85N3VFpQODf5.jpg,2021-06-10,The Misfits,False,5.7,175
28,False,/xDnFlNrNUoSKPq4uptnhYmUZNpm.jpg,"[27, 9648, 53]",619778,en,Malignant,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities with a mysterious tie to her past.",159.224,/dGv2BWjzwAz6LB8a8JeRIZL8hSz.jpg,2021-09-01,Malignant,False,7.0,1085
29,False,/dsdbViTNjLu4DbgkkYmuY4xDQ20.jpg,"[27, 53, 9648]",585216,en,Escape Room: Tournament of Champions,"Six people unwittingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive as they discover all the games that they've played before.",145.097,/jGYJyPzVgrVV2bgClI9uvEZgVLE.jpg,2021-07-01,Escape Room: Tournament of Champions,False,6.9,768
30,False,/6UxCO59sdhvp43OCkrYx4EX61J.jpg,[18],766798,es,Madres paralelas,"Two unmarried women who have become pregnant by accident and are about to give birth meet in a hospital room: Janis, middle-aged, unrepentant and happy; Ana, a teenager, remorseful and frightened.",183.562,/gDaxYkYNbHuM2VlUazbcpnFZB6d.jpg,2021-10-08,Parallel Mothers,False,6.9,121
31,False,/5MlvT4DZIdkpb7A9t375HVoiJ1v.jpg,"[28, 12, 18, 53]",646207,en,The Ice Road,"After a remote diamond mine collapses in far northern Canada, an ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.",135.177,/pj6UQPrtmC0snzPeU1HUhGWTgz6.jpg,2021-06-24,The Ice Road,False,7.2,828
32,False,/AiaIz0hC3Y25keSuUbeizdrQESY.jpg,"[16, 10751, 878, 14]",265712,ja,STAND BY ME ドラえもん,"In the suburbs of Tokyo some time ago, there lived a clumsy boy about 10 years old. There appeared in front of him named Sewashi, Nobita's descendant of four generations later from the 22nd century, and Doraemon, a 22nd century cat-type caretaker robot who helps people with its secret gadgets. Sewashi claims that his family is suffering from the debts Nobita made even to his generation, so in order to change this disastrous future, he brought along Doraemon as Nobita's caretaker to bring happiness to his future, although Doraemon is not happy about this. And so Sewashi installed an accomplishment program into Doraemon forcing him to take care of Nobita. Unless he makes Nobita happy, Doraemon can no longer go back to the 22nd century. This is how the life of Doraemon and Nobita begins. Will Doraemon succeed this mission and return to the 22nd century?",105.766,/jArnRnllnxbvE2CEV8jc2hhwweS.jpg,2014-08-08,Stand by Me Doraemon,False,7.3,315
