,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
33,False,/lLWmtauksCSH09SduR5iQkTbOic.jpg,"[10751, 16, 35]",585245,en,Clifford the Big Red Dog,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",48.323,/lz1SZ43tN30GoEW3uANx5cWtZSQ.jpg,2021-11-10,Clifford the Big Red Dog,False,0.0,0
34,False,/iehlEYH2bl2JPI5cz9oDKfQFOpC.jpg,[18],645886,en,The Unforgivable,"Released from prison into a society that won't forgive her past, a woman seeks redemption by searching for the sister she left behind.",53.53,/o1oIxdpevIdio3t4sskNVfp5HZ9.jpg,2021-11-24,The Unforgivable,False,0.0,0
35,False,/uI9YwSYfO6CuXJCdYfUW0CPI7TU.jpg,[18],1374,en,Rocky IV,"After iron man Drago, a highly intimidating 6-foot-5, 261-pound Soviet athlete, kills Apollo Creed in an exhibition match, Rocky comes to the heart of Russia for 15 pile-driving boxing rounds of revenge.",39.629,/jmvpwgW5M2kduR9zB0q8qGFC4zM.jpg,1985-11-21,Rocky IV,False,7.0,3197
36,False,/q8iOIJLvIcz5x38RrLudHQI5644.jpg,"[28, 53, 80]",738652,en,Copshop,"On the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a small-town police station. However, when the hit man turns up at the precinct, an unsuspecting rookie cop finds herself caught in the crosshairs.",40.488,/szArp3dQlVajpsqpyPFVAFHFsa3.jpg,2021-09-09,Copshop,False,6.2,76
37,False,/jdLsmpqmP1wTdFUPtmxMnYgoifT.jpg,"[80, 18, 53]",644495,en,House of Gucci,"The true story of how Patrizia Reggiani plotted to kill her husband Maurizio Gucci, the grandson of renowned fashion designer Guccio Gucci.",35.397,/9pmOmiBqt65T4CFZKF3BwZUVhGm.jpg,2021-11-24,House of Gucci,False,0.0,0
38,False,/r7dJqfmspzVlHYWXBiKn7NP8ZBw.jpg,"[18, 53, 80]",643532,en,The Card Counter,"William Tell just wants to play cards. His spartan existence on the casino trail is shattered when he is approached by Cirk, a vulnerable and angry young man seeking help to execute his plan for revenge on a military colonel. Tell sees a chance at redemption through his relationship with Cirk. But keeping Cirk on the straight-and-narrow proves impossible, dragging Tell back into the darkness of his past.",34.939,/y5DNLVg0gPiGSkuK4yFc4fjQ42Q.jpg,2021-09-03,The Card Counter,False,6.6,193
39,False,/dMvIsy3Ser1N621AwBptLPSKWf0.jpg,"[16, 12, 10751, 14, 878]",851112,en,Monster Family 2,"To free Baba Yaga and Renfield from the clutches of Monster Hunter Mila Starr, the Wishbone Family once more transforms into a Vampire, Frankenstein's Monster, a Mummy and a Werewolf. Aided and abetted by their three pet bats, our Monster Family zooms around the world again to save their friends, make new monstrous acquaintances and finally come to the realization that ‘Nobody’s Perfect’ – even those with flaws can find happiness.",33.304,/6f830Lrmf0so8FebTH2MviFmEdE.jpg,2021-10-28,Monster Family 2,False,6.5,6
40,False,/rInMNJipAil3iIcBltPiGRkNAG7.jpg,"[27, 53]",672741,en,Till Death,"After a romantic evening at their secluded lake house, a woman wakes up handcuffed to her dead husband. Trapped and isolated in the dead of winter, she must fight off hired killers to escape her late spouse's twisted plan.",28.256,/bvwMvrX2XqZVOz35YuYbFx3Iggr.jpg,2021-07-02,Till Death,False,6.7,229
41,False,/qFwVp1IBcP9GhWwJlzYxZKO0lXd.jpg,"[18, 36]",655082,fr,Eiffel,"The government is asking Eiffel to design something spectacular for the 1889 Paris World Fair, but Eiffel simply wants to design the subway. Suddenly, everything changes when Eiffel crosses paths with a mysterious woman from his past.",26.463,/7JrT2FAv4WMZEPXFR9wXWqsyAvl.jpg,2021-10-07,Eiffel,False,6.4,96
42,False,,[99],885362,en,Iron Temple,"IFBB Pro Tony Torres built a lucrative lifestyle which came crashing down after covering for a friend who committed a murder. After being chased by the FBI he was sent to prison for five years. Once he did his time, Tony had to build back his life.",26.466,/hkby3hU65GCiPTukou47noVKHki.jpg,2021-11-02,Iron Temple,False,3.5,2
