"时间戳记","After the lockdown of COVID-19, did your indoor entertainment activities become more than before?","What is your gender?","What is your age group?","What about your work experience?","Which is your favourite indoor entertainment?","Which factor influence you most to choose to watch a movie","Do you read film reviews before watching a movie?","Do bad film reviews make you decide to give up watching this movie?","Where do you usually browse movie reviews most?","Do you think there are many cases of deliberately creating bad movie reviews","Do you think most of the movies recommended by these film review platforms are your interest?","Do you like to share your film reviews online?","If you don’t want to share your film reviews, why?","Do you find that some film reviews focused on criticising the of actors appearance bother you? If so, why?","If the film review website can filter out the film reviews according to the user's personal needs, like clear some comments which attack others, it will help users to get more authentic film reviews, will you use this function all the times?","If the toxic review filtering limit user share their comments which is toxic. Would you take the initiative to use that, even it would limit your (toxic) comment, but everyone will get a fair and authentic environment.","How do you get the movie you may interest online?","When the platform's recommendation system to recommend movies to you, which basis do you want most?","Which aspect of the movie is most valued for you?"
"2021/10/13 5:20:22 下午 GMT+1","Maybe, not really","Female","25-45","Have 3-10 years of work experience","Watching movies","Trailer","Sometimes","Maybe","Facebook","Maybe","Half","No","Lazy to share","Yes","Maybe","Yes","Some people share it on the social media","My saved/like movies list","Story plot"
"2021/10/13 5:34:45 下午 GMT+1","Yes","Male","45-65","Over 10 years work experience","Watching movies;Listening the music","Trailer","Yes","Maybe","YouTube","Maybe","Half","No","Too many trolls","Maybe","Maybe","Maybe","Some people share it on the social media","Search records","Cast"
"2021/10/13 6:20:57 下午 GMT+1","Yes","Female","25-45","Have 3-10 years of work experience","Watching movies;Playing the computer game;Reading;Listening the music","Cast;Awards or Recommendations from other authorities, like movie review platform, cinema,;Good reviews","Yes","Maybe","IMDb (Internet Movie Database)","Yes","Most","No","Not getting likes/share from others","No","No","Yes","Recommendation by the certain platform","My saved/like movies list","Story plot"
"2021/10/13 6:28:19 下午 GMT+1","Yes","Male","25-45","Student","Watching movies;Playing the computer game;Reading;Listening the music;Amazon shopping","Cast;Trailer;Awards or Recommendations from other authorities, like movie review platform, cinema,;Good reviews","Yes","Yes","IMDb (Internet Movie Database)","Yes","Most","Sometimes","Not getting likes/share from others","Maybe","Yes","Yes","Recommendation by the certain platform","The labels I follows","Story plot"
"2021/10/13 7:07:14 下午 GMT+1","Maybe, not really","Male","25-45","Over 10 years work experience","Watching movies;Reading","Cast;Awards or Recommendations from other authorities, like movie review platform, cinema,;Good reviews","Yes","Yes","豆瓣","Maybe","Most","Sometimes","","Yes","Maybe","Maybe","Key word search","","Story plot"
"2021/10/13 8:12:02 下午 GMT+1","No","Male","18-25","Have less than 3 years of work experience","Watching movies;Playing the computer game;Listening the music","Cast;Good reviews","Sometimes","Yes","IMDb (Internet Movie Database)","Maybe","Half","No","Too many trolls","Maybe","Yes","Yes","Key word search","All of the above are important","Movie effect"
"2021/10/13 8:17:47 下午 GMT+1","Yes","Female","18-25","Student","Watching movies;Playing the computer game","Awards or Recommendations from other authorities, like movie review platform, cinema,;Good reviews","Yes","No","Baidu","Maybe","Half","No","Too many trolls","Maybe","No","Yes","Key word search","Personal preference when you register","Movie theme"
"2021/10/13 9:09:47 下午 GMT+1","Yes","Male","25-45","Have 3-10 years of work experience","football","Good reviews","Sometimes","Maybe","Facebook","Maybe","Most","Sometimes","Too many trolls","No","Maybe","Maybe","Shared link from my friends","Personal preference when you register","Story plot"
"2021/10/13 9:19:27 下午 GMT+1","Yes","Male","25-45","Over 10 years work experience","Watching movies;Playing the computer game;Listening the music","Awards or Recommendations from other authorities, like movie review platform, cinema,","Yes","Yes","youtube","No","Half","Yes","n/a","Maybe","No","No","Key word search","My saved/like movies list","Story plot"
"2021/10/13 9:37:52 下午 GMT+1","Yes","Female","18-25","Student","Watching movies;Reading;Listening the music","Cast;Good reviews","Sometimes","Maybe","Rotten Tomatoes","Yes","Half","No","I mostly share through word-of-mouth","Yes","Maybe","Maybe","Recommendation by the certain platform","My saved/like movies list","Movie theme"
"2021/10/13 9:40:36 下午 GMT+1","Maybe, not really","Male","18-25","Student","Reading","Trailer","Yes","No","IMDb (Internet Movie Database)","No","Less than half","No","Not getting likes/share from others","Maybe","Maybe","Maybe","Recommendation by the certain platform","Search records","Cast"
"2021/10/13 9:49:17 下午 GMT+1","Yes","Female","18-25","Student","Watching movies","Good reviews","Yes","Yes","","Yes","Most","No","Not getting likes/share from others","Yes;Maybe","No","No","Recommendation by the certain platform","Personal preference when you register","Movie theme"
"2021/10/14 12:27:10 上午 GMT+1","Yes","Female","25-45","Have 3-10 years of work experience","Reading","Good reviews","Sometimes","Maybe","Rotten Tomatoes","Maybe","Most","Sometimes","Too many trolls","Yes","Yes","Yes","Key word search","All of the above are important","Story plot"
"2021/10/14 8:09:26 上午 GMT+1","No","Male","25-45","Have less than 3 years of work experience","Watching movies;Playing the computer game;Reading;Listening the music","Awards or Recommendations from other authorities, like movie review platform, cinema,;Good reviews","Yes","Yes","ifun","Maybe","Less than half","Sometimes","Too many trolls","Maybe","Maybe","Yes","Some people share it on the social media","My saved/like movies list","Story plot"
"2021/10/14 11:10:54 上午 GMT+1","Yes","Female","18-25","Student","Watching movies","Good reviews","Yes","Yes","INS (IG)","Maybe","Half","Sometimes","Too many trolls","Maybe","Yes","Maybe","Recommendation by the certain platform","My saved/like movies list","Story plot"
